filename,frame_number,original_width,original_height,output_width,output_height,timestamp,file_size
frame_000000.jpg,0,960,720,512,512,2025-09-01T04:24:34.319Z,64218
frame_000001.jpg,1,960,720,512,512,2025-09-01T04:24:34.319Z,64218
frame_000002.jpg,2,960,720,512,512,2025-09-01T04:24:34.319Z,64218
frame_000003.jpg,3,960,720,512,512,2025-09-01T04:24:34.319Z,64218
frame_000004.jpg,4,960,720,512,512,2025-09-01T04:24:34.319Z,64854
frame_000005.jpg,5,960,720,512,512,2025-09-01T04:24:34.319Z,64854
frame_000006.jpg,6,960,720,512,512,2025-09-01T04:24:34.319Z,64854
frame_000007.jpg,7,960,720,512,512,2025-09-01T04:24:34.319Z,64854
frame_000008.jpg,8,960,720,512,512,2025-09-01T04:24:34.319Z,65368
frame_000009.jpg,9,960,720,512,512,2025-09-01T04:24:34.319Z,65368
frame_000010.jpg,10,960,720,512,512,2025-09-01T04:24:34.319Z,65368
frame_000011.jpg,11,960,720,512,512,2025-09-01T04:24:34.319Z,65368
frame_000012.jpg,12,960,720,512,512,2025-09-01T04:24:34.319Z,65434
frame_000013.jpg,13,960,720,512,512,2025-09-01T04:24:34.319Z,65434
frame_000014.jpg,14,960,720,512,512,2025-09-01T04:24:34.319Z,65434
frame_000015.jpg,15,960,720,512,512,2025-09-01T04:24:34.319Z,65434
frame_000016.jpg,16,960,720,512,512,2025-09-01T04:24:34.319Z,65189
frame_000017.jpg,17,960,720,512,512,2025-09-01T04:24:34.319Z,65189
frame_000018.jpg,18,960,720,512,512,2025-09-01T04:24:34.319Z,65189
frame_000019.jpg,19,960,720,512,512,2025-09-01T04:24:34.319Z,65189
frame_000020.jpg,20,960,720,512,512,2025-09-01T04:24:34.319Z,64100
frame_000021.jpg,21,960,720,512,512,2025-09-01T04:24:34.319Z,64100
frame_000022.jpg,22,960,720,512,512,2025-09-01T04:24:34.319Z,64100
frame_000023.jpg,23,960,720,512,512,2025-09-01T04:24:34.319Z,64100
frame_000024.jpg,24,960,720,512,512,2025-09-01T04:24:34.319Z,64058
frame_000025.jpg,25,960,720,512,512,2025-09-01T04:24:34.319Z,64058
frame_000026.jpg,26,960,720,512,512,2025-09-01T04:24:34.319Z,64058
frame_000027.jpg,27,960,720,512,512,2025-09-01T04:24:34.319Z,64058
frame_000028.jpg,28,960,720,512,512,2025-09-01T04:24:34.319Z,64811
frame_000029.jpg,29,960,720,512,512,2025-09-01T04:24:34.319Z,64811
frame_000030.jpg,30,960,720,512,512,2025-09-01T04:24:34.319Z,62714
frame_000031.jpg,31,960,720,512,512,2025-09-01T04:24:34.319Z,62940
frame_000032.jpg,32,960,720,512,512,2025-09-01T04:24:34.319Z,62940
frame_000033.jpg,33,960,720,512,512,2025-09-01T04:24:34.319Z,62940
frame_000034.jpg,34,960,720,512,512,2025-09-01T04:24:34.319Z,62940
frame_000035.jpg,35,960,720,512,512,2025-09-01T04:24:34.319Z,63423
frame_000036.jpg,36,960,720,512,512,2025-09-01T04:24:34.319Z,63522
frame_000037.jpg,37,960,720,512,512,2025-09-01T04:24:34.319Z,63522
frame_000038.jpg,38,960,720,512,512,2025-09-01T04:24:34.319Z,63522
frame_000039.jpg,39,960,720,512,512,2025-09-01T04:24:34.319Z,64267
frame_000040.jpg,40,960,720,512,512,2025-09-01T04:24:34.319Z,65598
frame_000041.jpg,41,960,720,512,512,2025-09-01T04:24:34.319Z,65598
frame_000048.jpg,48,960,720,512,512,2025-09-01T04:24:34.319Z,65669
frame_000049.jpg,49,960,720,512,512,2025-09-01T04:24:34.319Z,65669
frame_000050.jpg,50,960,720,512,512,2025-09-01T04:24:34.319Z,65669
frame_000051.jpg,51,960,720,512,512,2025-09-01T04:24:34.319Z,66073
frame_000052.jpg,52,960,720,512,512,2025-09-01T04:24:34.319Z,66073
frame_000053.jpg,53,960,720,512,512,2025-09-01T04:24:34.319Z,66073
frame_000054.jpg,54,960,720,512,512,2025-09-01T04:24:34.319Z,65829
frame_000055.jpg,55,960,720,512,512,2025-09-01T04:24:34.319Z,65829
frame_000056.jpg,56,960,720,512,512,2025-09-01T04:24:34.319Z,65829
frame_000057.jpg,57,960,720,512,512,2025-09-01T04:24:34.319Z,65829
frame_000058.jpg,58,960,720,512,512,2025-09-01T04:24:34.319Z,65091
frame_000059.jpg,59,960,720,512,512,2025-09-01T04:24:34.319Z,65091
frame_000060.jpg,60,960,720,512,512,2025-09-01T04:24:34.319Z,63423
frame_000061.jpg,61,960,720,512,512,2025-09-01T04:24:34.319Z,64521
frame_000062.jpg,62,960,720,512,512,2025-09-01T04:24:34.319Z,64267
frame_000063.jpg,63,960,720,512,512,2025-09-01T04:24:34.319Z,64267
frame_000064.jpg,64,960,720,512,512,2025-09-01T04:24:34.319Z,65288
frame_000065.jpg,65,960,720,512,512,2025-09-01T04:24:34.319Z,65288
frame_000066.jpg,66,960,720,512,512,2025-09-01T04:24:34.319Z,65288
frame_000067.jpg,67,960,720,512,512,2025-09-01T04:24:34.319Z,65288
frame_000068.jpg,68,960,720,512,512,2025-09-01T04:24:34.319Z,65598
frame_000069.jpg,69,960,720,512,512,2025-09-01T04:24:34.319Z,65598
frame_000072.jpg,72,960,720,512,512,2025-09-01T04:24:34.319Z,63423
frame_000073.jpg,73,960,720,512,512,2025-09-01T04:24:34.319Z,63423
frame_000074.jpg,74,960,720,512,512,2025-09-01T04:24:34.319Z,63423
frame_000075.jpg,75,960,720,512,512,2025-09-01T04:24:34.319Z,64521
frame_000076.jpg,76,960,720,512,512,2025-09-01T04:24:34.319Z,64521
frame_000077.jpg,77,960,720,512,512,2025-09-01T04:24:34.319Z,64267
frame_000078.jpg,78,960,720,512,512,2025-09-01T04:24:34.319Z,65288
frame_000079.jpg,79,960,720,512,512,2025-09-01T04:24:34.319Z,65288
frame_000080.jpg,80,960,720,512,512,2025-09-01T04:24:34.319Z,65288
frame_000081.jpg,81,960,720,512,512,2025-09-01T04:24:34.319Z,65288
frame_000082.jpg,82,960,720,512,512,2025-09-01T04:24:34.319Z,65598
frame_000083.jpg,83,960,720,512,512,2025-09-01T04:24:34.319Z,65598
frame_000084.jpg,84,960,720,512,512,2025-09-01T04:24:34.319Z,65598
frame_000085.jpg,85,960,720,512,512,2025-09-01T04:24:34.319Z,65598
frame_000086.jpg,86,960,720,512,512,2025-09-01T04:24:34.319Z,66065
frame_000087.jpg,87,960,720,512,512,2025-09-01T04:24:34.319Z,66065
frame_000088.jpg,88,960,720,512,512,2025-09-01T04:24:34.319Z,66065
frame_000089.jpg,89,960,720,512,512,2025-09-01T04:24:34.319Z,66065
frame_000090.jpg,90,960,720,512,512,2025-09-01T04:24:34.319Z,65867
frame_000091.jpg,91,960,720,512,512,2025-09-01T04:24:34.319Z,62952
frame_000092.jpg,92,960,720,512,512,2025-09-01T04:24:34.319Z,62952
frame_000093.jpg,93,960,720,512,512,2025-09-01T04:24:34.319Z,62952
frame_000094.jpg,94,960,720,512,512,2025-09-01T04:24:34.319Z,65964
frame_000095.jpg,95,960,720,512,512,2025-09-01T04:24:34.319Z,65539
frame_000096.jpg,96,960,720,512,512,2025-09-01T04:24:34.319Z,64811
frame_000097.jpg,97,960,720,512,512,2025-09-01T04:24:34.319Z,64811
frame_000098.jpg,98,960,720,512,512,2025-09-01T04:24:34.319Z,65972
frame_000099.jpg,99,960,720,512,512,2025-09-01T04:24:34.319Z,65972
frame_000100.jpg,100,960,720,512,512,2025-09-01T04:24:34.319Z,65972
frame_000101.jpg,101,960,720,512,512,2025-09-01T04:24:34.319Z,65972
